Date,Price,Signal,Year,Open,High,Low,Close,Adj Close,Volume,SMA5,SMA20,EMA10,RSI14,MACD,MACD_signal,BB_upper,BB_middle,BB_lower,ATR14,Momentum10,Rate_of_Change10,WilliamsR14,Bullish_Engulfing,Bearish_Engulfing,Hammer,Shooting_Star,Morning_Star,Evening_Star
2022-08-05,164.21,BUY,2022.0,163.2100067138672,165.85000610351562,163.0,165.35000610351562,163.72732543945312,56697000,163.76199951171876,154.77099990844727,160.7397591197988,78.26221528955372,5.44525113207817,4.339289243186215,168.6987792994381,154.77099990844727,140.84322051745644,3.477142333984375,11.260009765625,0.07307424254157226,-9.072960792132845,False,False,False,False,False,False
2022-08-19,172.42,SELL,2022.0,173.02999877929688,173.74000549316406,171.30999755859375,171.52000427246094,169.83677673339844,70346300,173.28800048828126,165.30350036621093,170.44929011224113,71.3797418850215,6.170308425334213,5.979120565349079,179.24900562291148,165.30350036621093,151.35799510951037,2.878572736467634,6.1699981689453125,0.03731477436464472,-28.02659021257022,False,False,False,False,False,True
2022-08-24,167.53,BUY,2022.0,167.32000732421875,168.11000061035156,166.25,167.52999877929688,165.8859405517578,53841500,169.6,167.35300064086914,169.08916043350095,54.2871356265603,4.511474916276285,5.473655478235635,176.9850568397129,167.35300064086914,157.72094444202537,2.540002005440848,-1.7100067138671875,-0.010104033670314778,-65.55132409218865,False,False,False,False,False,False
2022-08-30,161.56,SHORT,2022.0,162.1300048828125,162.55999755859375,157.72000122070312,158.91000366210938,157.35052490234375,77906200,164.29400024414062,167.9810012817383,165.5196114682428,31.794152180145076,1.8957398891682828,3.9536075508963897,176.5562185479383,167.9810012817383,159.40578401553827,2.949285234723772,-14.1199951171875,-0.0816043184234072,-93.54312037806707,False,True,False,False,False,False
2022-09-09,156.5,BUY,2022.0,155.47000122070312,157.82000732421875,154.75,157.3699951171875,155.8256378173828,68028800,155.6260009765625,164.40600128173827,158.38697824458285,26.345703436872995,-1.567062007744255,0.12061699276280535,179.22362323724275,164.40600128173827,149.5883793262338,3.5450003487723216,-12.660003662109375,-0.07445747075810058,-74.46924446194318,False,False,False,False,False,False
2022-09-15,153.29,SHORT,2022.0,154.64999389648438,155.24000549316406,151.3800048828125,152.3699951171875,150.87469482421875,90481100,156.46399536132813,161.0099998474121,156.78402218036257,29.407647328431153,-2.0178089432235993,-0.9256605295589029,174.29891804199943,161.0099998474121,147.72108165282478,4.334285191127232,-4.850006103515625,-0.03084853114017763,-94.96700393222211,False,False,False,False,False,False
2022-09-20,155.02,BUY,2022.0,153.39999389648438,158.0800018310547,153.0800018310547,156.89999389648438,155.3602294921875,107689800,153.95199584960938,158.45199890136718,155.72185526078246,47.4640303835835,-2.132877193801704,-1.5879558727217131,169.1894047254788,158.45199890136718,147.71459307725556,4.193571908133371,2.3699951171875,0.015336796323750568,-46.31844489022602,False,False,False,False,False,False
2022-09-23,150.65,SHORT,2022.0,151.19000244140625,151.47000122070312,148.55999755859375,150.42999267578125,148.9537353515625,96029900,153.65399780273438,156.05699920654297,154.07246581371137,43.521187010621624,-2.4824339842353993,-1.9488440228937038,163.4379682033685,156.05699920654297,148.67603020971742,4.1242861066545755,-6.94000244140625,-0.0440999088564392,-87.03588648382366,False,False,True,False,False,False
2022-10-03,140.23,BUY,2022.0,138.2100067138672,143.07000732421875,137.69000244140625,142.4499969482422,141.0520477294922,114311700,144.94599609375,152.08699798583984,147.35709141353263,34.969649547209826,-4.401809510888228,-3.143772395602786,163.49589062070348,152.08699798583984,140.6781053509762,4.544288635253906,-12.029998779296875,-0.07787415271887073,-77.38720277079273,False,False,False,False,False,False
2022-10-07,142.03,SHORT,2022.0,142.5399932861328,143.10000610351562,139.4499969482422,140.08999633789062,138.71522521972656,85925600,144.0939971923828,149.8719970703125,145.50744956532782,31.20919050296628,-4.238968034904616,-3.7233695653498957,162.20141455617372,149.8719970703125,137.54257958445126,4.295003618512835,-10.339996337890625,-0.06873626830638896,-88.59860547011199,False,False,False,False,False,False
